,Age,Job,Marital Status,Education,Default,Balance (euros),Housing Loan,Loan,Contact,Last Contact Day,Last Contact Month,Last Contact Duration,Campaign,Pdays,Previous,Poutcome,Subscription
0,53.0,retired,married,primary,0,0.0,0,1,unknown,27,jun,747,1,-1.0,0,unknown,0
1,43.0,housemaid,married,secondary,0,150.0,0,0,telephone,28,jul,290,7,-1.0,0,unknown,0
2,27.0,admin.,single,secondary,0,-181.0,1,1,unknown,29,may,81,4,-1.0,0,unknown,0
4,41.0,admin.,married,secondary,0,0.0,1,0,unknown,9,jun,65,3,-1.0,0,unknown,0
5,45.0,self-employed,single,tertiary,0,1009.0,0,0,cellular,19,nov,125,2,-1.0,0,unknown,0
6,39.0,technician,married,tertiary,0,14.0,0,0,cellular,28,jan,114,2,-1.0,0,unknown,0
7,48.0,management,single,secondary,0,1106.0,0,1,cellular,8,jul,265,1,-1.0,0,unknown,0
8,31.0,technician,single,secondary,0,826.0,1,0,cellular,12,aug,246,2,-1.0,0,unknown,0
9,28.0,management,single,tertiary,0,1466.0,1,0,cellular,25,jul,40,1,-1.0,0,unknown,0
10,36.0,blue-collar,married,secondary,0,-406.0,1,1,unknown,14,may,104,3,-1.0,0,unknown,0
11,54.0,management,married,tertiary,0,14107.0,0,0,cellular,17,nov,98,1,-1.0,0,unknown,0
12,47.0,admin.,married,secondary,0,12845.0,1,0,unknown,18,nov,117,1,-1.0,0,unknown,0
13,35.0,management,divorced,tertiary,0,859.0,1,1,cellular,19,nov,1554,1,-1.0,0,unknown,1
14,30.0,services,single,tertiary,0,1785.0,0,0,cellular,8,aug,108,2,-1.0,0,unknown,0
15,35.0,management,married,tertiary,0,1380.0,0,0,cellular,23,feb,155,1,-1.0,0,unknown,1
16,51.0,technician,divorced,secondary,0,329.0,1,0,unknown,28,may,191,5,-1.0,0,unknown,0
17,39.0,blue-collar,married,primary,0,710.0,0,0,cellular,3,feb,14,6,-1.0,0,unknown,0
18,39.0,housemaid,married,secondary,0,1444.0,0,0,cellular,19,nov,100,1,117.0,8,success,0
19,48.0,unemployed,single,tertiary,0,3229.0,0,0,unknown,16,jun,1089,1,-1.0,0,unknown,1
20,28.0,blue-collar,married,primary,0,0.0,1,0,cellular,16,jul,129,2,-1.0,0,unknown,0
21,51.0,admin.,divorced,secondary,0,74.0,1,0,cellular,25,jul,79,2,-1.0,0,unknown,0
22,60.0,blue-collar,married,secondary,0,2879.0,1,0,cellular,5,aug,122,1,-1.0,0,unknown,0
23,48.0,admin.,married,secondary,0,1096.0,1,0,unknown,18,jun,213,5,-1.0,0,unknown,0
24,33.0,management,married,tertiary,0,3669.0,1,0,cellular,17,apr,370,1,-1.0,0,unknown,0
25,56.0,management,married,primary,0,0.0,0,0,cellular,3,feb,996,1,-1.0,0,unknown,1
26,35.0,management,single,unknown,0,342.0,0,1,cellular,2,feb,427,4,-1.0,0,unknown,0
27,31.0,management,single,tertiary,0,86.0,0,0,cellular,29,jan,100,1,170.0,4,failure,0
28,40.0,services,married,primary,0,3559.0,1,0,unknown,20,may,138,8,-1.0,0,unknown,0
29,38.0,management,single,tertiary,0,8669.0,1,0,telephone,20,apr,5,3,150.0,6,failure,0
30,52.0,admin.,married,secondary,0,82.0,1,1,telephone,15,jul,1142,4,-1.0,0,unknown,0
31,44.0,blue-collar,married,secondary,0,1671.0,0,0,unknown,12,jun,149,1,-1.0,0,unknown,0
32,53.0,technician,married,secondary,0,879.0,0,0,cellular,5,aug,176,1,-1.0,0,unknown,0
34,58.0,blue-collar,divorced,secondary,0,314.0,0,0,unknown,25,jun,67,2,-1.0,0,unknown,0
35,45.0,blue-collar,married,secondary,0,2926.0,1,1,cellular,19,nov,482,3,120.0,2,failure,0
36,29.0,blue-collar,married,primary,0,248.0,1,0,cellular,18,may,113,1,-1.0,0,unknown,0
37,57.0,management,married,primary,0,-226.0,1,0,unknown,4,jun,272,1,-1.0,0,unknown,0
38,37.0,management,married,primary,0,4721.0,0,0,telephone,28,jan,46,1,-1.0,0,unknown,0
39,34.0,technician,single,secondary,0,0.0,0,0,cellular,21,aug,163,2,-1.0,0,unknown,0
40,34.0,blue-collar,married,secondary,0,298.0,1,0,unknown,15,may,182,1,-1.0,0,unknown,0
41,56.0,admin.,married,secondary,0,2796.0,0,0,telephone,31,jul,39,3,-1.0,0,unknown,0
42,39.596210994215156,management,married,tertiary,0,509.0,0,1,cellular,21,aug,898,4,-1.0,0,unknown,0
43,36.0,self-employed,single,tertiary,0,977.0,0,0,unknown,20,jun,172,2,-1.0,0,unknown,0
44,25.0,blue-collar,single,primary,0,155.0,1,0,unknown,30,may,85,4,-1.0,0,unknown,0
45,58.0,technician,divorced,secondary,0,469.0,0,0,unknown,6,may,196,1,-1.0,0,unknown,0
46,41.0,self-employed,married,primary,0,340.0,0,0,unknown,6,jun,37,3,-1.0,0,unknown,0
47,28.0,blue-collar,married,secondary,0,59.0,1,1,unknown,23,may,293,2,-1.0,0,unknown,0
48,43.0,management,divorced,tertiary,0,0.0,1,0,cellular,21,jul,111,1,-1.0,0,unknown,0
49,47.0,technician,divorced,tertiary,0,477.0,1,0,telephone,7,may,973,1,366.0,1,failure,0
50,58.0,management,married,tertiary,0,3342.0,0,0,cellular,5,feb,344,5,-1.0,0,unknown,1
51,45.0,blue-collar,married,unknown,0,-320.0,1,0,unknown,28,may,204,3,-1.0,0,unknown,0
52,30.0,technician,married,tertiary,0,8351.0,0,0,cellular,11,aug,345,3,-1.0,0,unknown,0
53,39.0,management,married,tertiary,0,0.0,0,0,unknown,20,jun,10,4,-1.0,0,unknown,0
54,45.0,technician,married,secondary,0,2776.0,1,0,cellular,27,jul,287,2,181.0,1,success,1
55,24.0,blue-collar,single,secondary,0,1.0,1,0,cellular,11,may,79,2,-1.0,0,unknown,0
56,33.0,management,single,secondary,0,2955.0,1,0,cellular,18,may,178,2,-1.0,0,unknown,0
57,48.0,self-employed,married,tertiary,0,0.0,0,0,cellular,29,jan,1249,3,-1.0,0,unknown,1
58,32.0,blue-collar,married,secondary,0,-460.0,1,1,cellular,29,jan,131,2,206.0,6,other,0
59,36.0,blue-collar,married,secondary,0,722.0,1,0,unknown,29,may,103,7,-1.0,0,unknown,0
60,49.0,blue-collar,divorced,primary,0,912.0,0,0,unknown,20,jun,170,2,-1.0,0,unknown,0
61,38.0,management,single,unknown,0,715.0,1,0,cellular,21,nov,140,1,185.0,2,failure,0
62,29.0,blue-collar,married,secondary,0,210.0,0,1,cellular,22,jul,518,1,-1.0,0,unknown,0
63,59.0,retired,divorced,primary,0,-88.0,1,0,unknown,5,jun,910,2,-1.0,0,unknown,1
64,49.0,management,married,tertiary,0,3063.0,1,0,cellular,18,may,68,2,-1.0,0,unknown,0
65,26.0,student,single,secondary,0,440.0,0,0,unknown,5,may,54,1,-1.0,0,unknown,0
66,32.0,services,married,secondary,0,414.0,1,0,cellular,3,feb,236,2,272.0,1,failure,0
